Level,#,Label,Definition,Correct,Attempts,Score %
1,1,"参加","to participate",13,13,100
1,2,"喂","hello",14,14,100
1,3,"中文","Chinese (language)",19,22,86
1,4,"复印","to photocopy",16,17,94
1,5,"一定","for sure",14,14,100
1,6,"转告","to pass on, to communicate",18,19,94
1,7,"晚会","party",26,30,86
1,8,"门口","door",15,16,93
1,9,"通知","to notify",36,46,78
1,10,"帮助","assistance",19,22,86
1,11,"报","to announce",19,22,86
1,12,"跳舞","to dance",14,14,100
1,13,"新年","New Year",16,16,100
1,14,"舞会","dance party (ball)",15,16,93
1,15,"里边","inside",24,27,88
1,16,"正在","in the process of",19,20,95
1,17,"开","to have (a meeting)",32,43,74
1,18,"唱","to sing",13,13,100
1,19,"歌","song",23,31,74
1,20,"参观","to visit",25,34,73
2,1,"巧","fortunately, opportunely",37,46,80
2,2,"再说","put off until later",19,22,86
2,3,"可是","but",14,15,93
2,4,"约会","appointment",25,29,86
2,5,"同学","classmate",13,13,100
2,6,"空儿","spare time",23,25,92
2,7,"见面","to meet (by appointment)",32,39,82
2,8,"话剧","theatrical play",43,59,72
2,9,"复习","to revise, to review",13,13,100
2,10,"画展","art exhibition",13,13,100
2,11,"刚","just now",18,19,94
2,12,"陪","to accompany",27,30,90
2,13,"句子","sentence",17,18,94
2,14,"封","to seal up",27,34,79
2,15,"会","meeting",29,41,70
2,16,"正","just right",38,47,80
2,17,"高","tall",13,13,100
2,18,"男","male",13,13,100
2,19,"姑娘","girl",13,13,100
2,20,"漂亮","pretty",13,13,100
2,21,"个子","height",24,28,85
3,1,"对不起","I'm sorry",22,26,84
3,2,"让","to allow",15,16,93
3,3,"久","a long time",13,13,100
3,4,"才","only just",33,37,89
3,5,"抱歉","sorry",33,44,75
3,6,"坏","bad",13,13,100
3,7,"修","to mend",14,14,100
3,8,"电影院","cinema",25,29,86
3,9,"小说","novel",13,13,100
3,10,"约","to make an appointment",22,24,91
3,11,"可能","possibly",13,13,100
3,12,"还","to return",32,37,86
3,13,"用","to use",13,13,100
3,14,"原谅","to excuse",47,66,71
3,15,"没关系","it doesn't matter",24,26,92
3,16,"英文","English",13,13,100
3,17,"借","to borrow (also: to lend)",14,14,100
3,18,"支","measure word for long thin inflexible objects",13,14,92
3,19,"随身听","Walkman",25,29,86
3,20,"弄","to do",18,21,85
3,21,"脏","dirty",27,30,90
4,1,"遗憾","regret",49,72,68
4,2,"见","to see",13,13,100
4,3,"地","the earth",14,14,100
4,4,"乱七八糟","mess-up",15,17,88
4,5,"出差","to go on a business trip",18,19,94
4,6,"关","shut; to concern",14,15,93
4,7,"窗户","window",20,21,95
