Level,#,Label,Definition,Correct,Attempts,Score %
1,1,"聊天","to chat",14,14,100
1,2,"你可以和我聊天吗","Can you chat with me?",23,27,85
1,3,"该你了","Your turn",17,18,94
1,4,"邮局","post office",15,16,93
1,5,"高速公路","highway",18,19,94
1,6,"四季宾馆","Four seasons hotel",22,30,73
1,7,"麦当劳","McDonalds",15,15,100
1,8,"星巴克咖啡厅","Starbucks",15,15,100
1,9,"夏威夷","Hawaii",16,16,100
1,10,"西安","Xi'an",20,21,95
1,11,"万里长城","Great Wall",24,25,96
1,12,"京剧","Beijing opera",14,14,100
1,13,"好玩","Fun",14,14,100
1,14,"有意思","interesting",20,21,95
1,15,"旁边","beside",15,15,100
2,1,"后边","behind",19,21,90
2,2,"附近","nearby",20,21,95
2,3,"对面","opposite",32,35,91
2,4,"图书馆","Library",15,16,93
2,5,"公共交通","Public Transit",25,29,86
2,6,"自行车","bicycle",14,14,100
2,7,"摩托车","motorcycle",14,14,100
2,8,"旅游","tourism",30,34,88
2,9,"坐船","to take a boat",20,23,86
2,10,"电车","streetcar",15,15,100
2,11,"露营","camp",52,64,81
2,12,"蒙特利尔","Montreal",19,22,86
2,13,"离开","to leave",16,16,100
2,14,"游戏","game, to play",22,25,88
2,15,"如果-则-否则","if-then-else",6,8,75
3,1,"发电子","to send (electronically)",36,42,85
3,2,"出门","to go out",39,45,86
3,3,"邮件","email",35,43,81
3,4,"短信","text message",14,14,100
3,5,"洗澡","to shower",15,15,100
3,6,"走路","to walk",15,15,100
3,7,"洗衣机","washing machine",20,22,90
3,8,"刮风","to be windy",15,15,100
3,9,"晚","late",20,21,95
3,10,"会+verb","will be + verb",19,20,95
3,11,"已经","already",14,14,100
3,12,"还没有","not yet",20,21,95
3,13,"还有","furthermore (also)",48,59,81
3,14,"念书","to study",27,29,93
3,15,"毕业","graduation",17,18,94
4,1,"或者","or",22,24,91
4,2,"有时候","sometimes",14,14,100
4,3,"公园","park",15,15,100
4,4,"公寓","apartment building",33,39,84
4,5,"事情","A thing that you can do",28,30,93
4,6,"接","to pick up (a person)",15,15,100
4,7,"地方","place",20,21,95
4,8,"可能","possibly",14,14,100
4,9,"时间","time",14,14,100
4,14,"以后","after",15,15,100
4,15,"以前","before",27,30,90
5,5,"外面","outside",22,23,95
5,6,"最喜欢","favorite",16,16,100
5,8,"动物园","zoo",15,15,100
5,9,"然后","and then",14,14,100
5,10,"虽然。。。但是","although",60,82,73
5,11,"因为。。。所以","because",30,40,75
5,12,"为什么","why?",14,14,100
5,13,"周末","weekend",14,14,100
5,14,"礼物","gift",14,14,100
5,15,"电子书","ebook",23,24,95
6,1,"吃的","things to eat",17,17,100
6,2,"住的","place to live",15,15,100
6,3,"穿的","things to wear",15,15,100
6,4,"用的","things to use",14,14,100
6,5,"沃尔玛","Wallmart",23,28,82
6,6,"传统","traditional",36,44,81
6,7,"印象","sounds",50,70,71
6,8,"流利","fluent",36,44,81
6,9,"点心","dim sum",24,25,96
6,11,"要是。。。的话。。。就","if then",28,35,80
6,12,"有时间","a moment",37,42,88
6,13,"会","will",19,20,95
6,14,"号码","number/code",14,14,100
6,15,"电话号码","telephone number",21,22,95
7,1,"开机","to start the machine",15,15,100
7,2,"关机","to turn off",15,15,100
7,3,"打通","to get through",14,14,100
7,4,"打错","wrong number",23,27,85
7,5,"打完","to finish the call",14,16,87
7,6,"留言","voicemail",46,54,85
7,7,"雨伞","umbrella",14,14,100
7,8,"冰箱","refrigerator",15,15,100
7,9,"洗衣机","Washing mashine",24,27,88
7,10,"词典","dictionary",21,23,91
7,11,"铅笔","pencil",22,24,91
7,12,"钥匙","key",30,34,88
7,13,"微波炉","microwave",16,17,94
7,14,"杂志摊","newsstand",15,20,75
7,15,"杂志","magazine",36,43,83
8,1,"烤炉","oven",27,30,90
8,2,"地图","map",15,15,100
8,3,"报纸","newspaper",15,15,100
8,4,"桌子","table",16,17,94
8,5,"蛋糕","cake",19,20,95
8,6,"宠物","pet",21,22,95
8,7,"安静","quiet",16,17,94
8,8,"专业","major",14,14,100
8,9,"数学","mathematics",20,21,95
8,10,"小专业","minor",27,29,93
8,11,"物理","physics",23,25,92
8,12,"理发师","hairdresser",32,38,84
8,13,"幼儿老师","kindergarten teacher",24,28,85
8,14,"多长时间","how long",27,31,87
9,1,"艺术","art",23,30,76
9,2,"所有","anything",32,36,88
9,3,"门票","ticket",20,21,95
9,4,"中国城","china town",28,31,90
9,5,"健康","healthy",14,14,100
9,6,"牛奶","milk",16,16,100
9,7,"其他的人","other people",17,19,89
9,8,"为了","for something",20,22,90
9,9,"别的国家","other countries",36,42,85
9,10,"古巴","Cuba",16,17,94
9,11,"海滩","beach",37,46,80
9,12,"放松","to relax",25,27,92
9,13,"无线","wireless",16,16,100
9,14,"帮","to help",15,15,100
9,15,"行李","luggage",28,31,90
10,1,"广场","public square",30,33,90
10,2,"网络","network",27,29,93
10,3,"确定","to determine, to confirm",28,31,90
10,4,"功课","school work",40,44,90
10,5,"随便","anyway, no matter",46,54,85
10,6,"结束","to finish",18,19,94
10,7,"幸运","fortunate, lucky",63,81,77
10,8,"复习","to revise, to review",26,28,92
10,9,"生活","life",15,16,93
10,10,"暑假","summer vacation",35,41,85
10,11,"出国","to go abroad",14,15,93
10,12,"存钱","to save money",15,16,93
10,13,"留学","to study abroad",18,24,75
10,14,"一定","for sure",14,14,100
10,15,"希望","to wish for",32,37,86
11,1,"有趣","to be interesting",68,93,73
11,2,"打工","to work a temporary job",37,42,88
11,3,"大概","approximately",20,22,90
11,4,"中间","in the middle of",30,33,90
11,5,"靠近","near",19,20,95
11,6,"应该的","my pleasure",23,24,95
11,7,"超级","super, extremely",24,27,88
11,8,"害羞","shy",71,92,77
11,9,"慢用","to enjoy at one’s leisure",14,15,93
11,10,"无聊","boring",22,25,88
11,11,"唱歌","to sing",15,15,100
11,12,"篮球场","basketball court",32,36,88
11,13,"而且","furthermore/also",14,14,100
11,14,"宿舍","dormitory",14,14,100
11,15,"平安","safety",24,26,92
12,1,"更好","better",14,14,100
12,2,"幸福","blessed",22,26,84
12,3,"箱包","to hug",23,26,88
12,4,"死","to die/extremely",16,16,100
12,5,"流汗","perspiration",51,63,80
12,6,"球场","ball park",14,14,100
12,7,"往前走","to walk forward",32,40,80
12,8,"右转","to turn right",21,25,84
12,9,"跑","to run",19,20,95
12,10,"爱情","love; affection",20,21,95
12,11,"感情","feeling; emotion",37,45,82
12,12,"浪漫","romantic",21,24,87
12,13,"温柔","warmth and softness",36,43,83
12,14,"婚姻","matrimony; happiness",40,46,86
12,15,"孤单","lonely",42,48,87
13,1,"墙","wall",21,28,75
13,2,"水槽","sink",17,18,94
13,3,"叉子","fork",22,23,95
13,4,"盘子","plate",21,22,95
13,5,"刀","knife",22,23,95
13,6,"勺子","spoon",15,15,100
13,7,"赚钱","to make money",57,73,78
13,8,"零钱","change (of money)",35,38,92
13,9,"长头发","long hair",18,21,85
13,10,"短头发","short hair",15,16,93
13,11,"毛衣","wool sweater",20,21,95
13,12,"脱","to take off (clothing)",38,44,86
13,13,"拿下来","to take off (accessories)",25,29,86
13,14,"信用卡","credit card",27,29,93
13,15,"那种","that type of",20,22,90
14,1,"热身","to warm up",16,17,94
14,2,"投篮","to shoot (basketball)",39,47,82
14,3,"不行","unable to deal with something because it is extremely good or bad",15,15,100
